10 Things I Hate About You,Karen McCullah Lutz,Kirsten Smith,William Shakespeare
12,Lawrence Bridges
Armageddon,Jonathan Hensleigh,J.J. Abrams
Army of Darkness,Sam Raimi,Ivan Raimi
Arsenic and Old Lace,Julius J. Epstein,Philip G. Epstein,Joseph Kesselring
Arthur,Peter Baynham
Artist, The,Michel Hazanavicius
As Good As It Gets,Mark Andrus,James L. Brooks
Assassins,Larry Wachowski,Andy Wachowski
Assignment, The,Dan Gordon,Sabi H. Shabtai
At First Sight,Oliver Sacks,Steve Levitt,Irwin Winkler,Rob Cowan
August: Osage County,Tracy Letts
Austin Powers - International Man of Mystery,Mike Myers
Austin Powers - The Spy Who Shagged Me,Mike Myers
Authors Anonymous,David Congalton
Autumn in New York,Allison Burnett
Avatar,James Cameron
Avengers, The,Don Macpherson
Avengers, The (2012),Joss Whedon
Avengers: Endgame,Christopher Markus,Stephen McFeely
Avventura, L' (The Adventure),Michelangelo Antonioni,Elio Bartolini,Tonino Guerra
Awakenings,Steven Zaillian
Babel,Guillermo Arriaga
Bachelor Party,Neal Israel,Pat Proft,Bob Israel
Bachelor Party, The,Paddy Chayefsky
Back to the Future,Robert Zemeckis,Bob Gale
Back to the Future II & III,Bob Gale
Back-up Plan, The,Kate Angelo
Backdraft,Gregory Widen
Bad Boys,Michael Barrie,Jim Mulholland,Doug Richardson
Bad Country,Jonathan Hirschbein
Bad Day at Black Rock,Don McGuire,Millard Kaufman,Howard Breslin
Bad Dreams,Andrew Fleming,Steven E. de Souza
Bad Lieutenant,Abel Ferrara,Zoe Lund
Bad Santa,Glenn Ficarra,John Requa
Bad Teacher,Lee Eisenberg,Gene Stupnitsky
Badlands,Terence Malick
Bamboozled,Spike Lee
Barry Lyndon,Stanley Kubrick
Barton Fink,Joel Coen,Ethan Coen
Basic,James Vanderbilt
Basic Instinct,Joe Eszterhas
Basquiat,Julian Schnabel
Batman,Sam Hamm,Warren Skaaren
Batman 2,Sam Hamm
Batman and Robin,Bob Kane,Akiva Goldsman
Batman Begins,David Goyer
Batman Forever,Akiva Goldsman
Batman Returns,Daniel Waters,Westly Strick
Battle of Algiers, The,Gillo Pontecorvo,Franco Solinas
Battle of Shaker Heights, The,Erica Beeney
Battle: Los Angeles,Chris Bertolini
Beach, The,Alex Garland,John Hodge
Bean,Richard Curtist,Robin Briscoll
Beasts of No Nation,Cary Joji Fukunaga
Beasts of the Southern Wild,Lucy Alibar,Benh Zeitlin
Beauty and the Beast,Stephen Chbosky,Evan Spiliotopoulos
Beavis and Butt-head Do America,Mike Judge,Joe Stillman
Beginners,Mike Mills
Being Human,Bill Forsyth
Being John Malkovich,Charlie Kaufman
Being There,Jerry Kosinski,Robert C. Jones
Believer, The,Henry Bean,Mark Jacobson
Belle,Misan Sagay
Beloved,Richard LaGravenese,Toni Morrisson
Benny & Joon,Barry Berman,Lesley McNeil
Best Exotic Marigold Hotel, The,Ol Parker
Big,Gary Ross,Anne Spielberg
Big Blue, The,Luc Besson,Robert Garland
Big Eyes,Scott Alexander,Larry Karaszewski
Big Fish,Daniel Wallace,John August
Big Lebowski, The,Joel Coen,Ethan Coen
Big Sick, The,Emily V. Gordon,Kumail Nanjiani
Big White, The,Collin Friesen
Birdman,Alejandro G. Inarritu,Nicolas Giacobone,Alexander Dinelaris Jr.,Armando Bo
Birds, The,Daphne Du Maurier,Evan Hunter
Birthday Girl,Tom Butterworth,Jez Butterworth
Black Dahlia, The,Josh Friedman,James Ellroy
Black Panther,Ryan Coogler,Joe Robert Cole
Black Rain,Craig Bolotin,Warren Lewis
Black Snake Moan,Craig Brewer
Black Swan,Mark Heyman,Andres Heinz,John McLaughlin
BlacKkKlansman,Charlie Wachtel,David Rabinowitz,Kevin Willmott,Spike Lee
Blade,David S. Goyer
Blade II,David S. Goyer
Blade Runner,Hampton Fancher,David Peoples
Blade: Trinity,David S. Goyer
Blast from the Past, The,Bill Kelly,Hugh Wilson
Blind Side, The,John Lee Hancock,Michael Lewis
Bling Ring, The,Sofia Coppola
Blood and Wine,Nick Villiers
Blood Simple,Joel Coen,Ethan Coen
Blow,David McKenna,Nick Cassavetes
Blue Valentine,Derek Cianfrance,Cami Delavigne,Joey Curtis
Blue Velvet,David Lynch
Blues Brothers, The,John Landis,Dan Aykroyd
Bodies, Rest & Motion,Roger Hedden
Body Heat,Lawrence Kasdan
Body of Evidence,Brad Mirman
Bodyguard,Lawrence Kasdan
Bones,Adam Simon,Tim Metcalfe
Bonfire of the Vanities,Michael Cristofer
Bonnie and Clyde,David Newman,Robert Benton
Boogie Nights,Paul Thomas Anderson
Book of Eli, The,Gary Whitta
Boondock Saints 2: All Saints Day,Troy Duffy
Boondock Saints, The,Troy Duffy
Bottle Rocket,Owen Wilson,Wes Anderson
Bound,Andy Wachowski,Larry Wachowski
Bounty Hunter, The,Sarah Thorp
Bourne Identity, The,Tony Gilroy,Robert Ludlum
Bourne Supremacy, The,Tony Gilroy,Brian Helgeland,Robert Ludlum
Bourne Ultimatum, The,Tony Gilroy,Scott Z. Burns,George Nolfi
Box, The,Richard Kelly,Richard Matheson
Boxtrolls, The,Irena Brignull,Adam Pava
Boyhood,Richard Linklater
Braveheart,Randall Wallace
Brazil,Terry Gilliam,Charles McKeown
Break,Oliver Stone
Breakdown,Jonathan Mostow
Breakfast Club, The,John Hughes
Breaking Away,Steve Tesich
Brick,Rian Johnson
Bridesmaids,Annie Mumolo
Bringing Out the Dead,Paul Schrader
Broadcast News,James L. Brooks
Broken Arrow,Graham Yost
Broken Embraces,Pedro Almodovar
Brothers Bloom, The,Rian Johnson
Bruce Almighty,Steve Koren,Mark O'Keefe,Steve Oedekerk
Buffy the Vampire Slayer,Joss Whedon
Bull Durham,Ron Shelton
Buried,Chris Sparling
Burlesque,Steven Antin
Burn After Reading,Joel Coen,Ethan Coen
Burning Annie,Zack Ordynans
Butterfly Effect, The,J. Mackye Gruber,Eric Bress
Cable Guy,Lou Holtz Jr.,Judd Apatow
Candle to Water,Nick Green
Capote,Dan Futterman
Carrie,Lawrence D. Cohen,Stephen King
Cars 2,Ben Queen
Casablanca,Julius Epstein,Philip Epstein,Howard Koch
Case 39,Ray Wright
Casino,Nicholas Pileggi,Martin Scorsese
Cast Away,William Broyles Jr.
Catch Me If You Can,Jeff Nathanson
Catwoman,Daniel Waters
Cecil B. Demented,John Waters
Cedar Rapids,Phil Johnston
Celeste & Jesse Forever,Rashida Jones,Will McCormack
Cell, The,Mark Protosevich
Cellular,Larry Cohen,Chris Morgan,J. Mackye Gruber,Eric Bress
Change-Up, The,Jon Lucas,Scott Moore
Changeling,J Michael Straczynski
Chaos,Tony Giglio
Charade,Peter Stone
Charlie's Angels,Ed Solomon,John August,Zak Penn
Chasing Amy,Kevin Smith
Chasing Sleep,Michael Walker
Cherry Falls,Ken Selden
Chinatown,Robert Towne
Christ Complex,Jeffrey Scott Richards
Chronicle,Max Landis,Josh Trank
Chronicles of Narnia: The Lion, the Witch and the Wardrobe,C.S. Lewis,Ann Peacock
Cider House Rules, The,John Irving
Cincinnati Kid, The,Ring Lardner Jr,Terry Southern,Richard Jessup
Cinema Paradiso,Giuseppe Tornatore
Cirque du Freak: The Vampire's Assistant,Brian Helgeland
Citizen Kane,Herman J. Mankiewicz,Orson Welles
City of Joy,Gerald Brach,Roland Joffe
Clash of the Titans,John Glenn,Travis Wright
Clerks,Kevin Smith
Cliffhanger,Michael France
Clockwork Orange, A,Stanley Kubrick
Clueless,Amy Heckerling
Cobb,Ron Shelton
Coco,Lee Unkrich,Jason Katz,Matthew Aldrich,Adrian Molina
Code of Silence,Michael Butler,Dennis Shryack,Mike Gray,John Mason
Cold Mountain,Charles Frazier,Anthony Minghella
Collateral,Stuart Beattie,Frank Darabont,Michael Mann
Collateral Damage,Ronald Roose
Colombiana,Robert Mark Kamen,Luc Besson
Color of Night,Billy Ray,Matthew Chapman
Commando,Richard Tuggle
Conan the Barbarian,Thomas Dean Donnelly,Joshua Oppenheimer
Confessions of a Dangerous Mind,Charlie Kaufman
Confidence,Doug Jung
Constantine,Jamie Delano,Garth Ennis
Contact,Carl Sagan,Ann Druyan,James V. Hart,Michael Goldenberg
Cooler, The,Frank Hannah,Wayne Kramer
Copycat,Frank Pierson,Ann Biderman,Jay Presson Allen
Coraline,Henry Selick,Neil Gaiman
Coriolanus,John Logan,William Shakespeare
Courage Under Fire,Patrick Sheane Duncan
Cowboys & Aliens,Alex Kurtzman,Roberto Orci,Damon Lindelof
Cradle 2 the Grave,John O'Brian,Channing Gibson
Crank,Mark Neveldine,Brian Taylor
Crash,J.G. Ballard,David Cronenberg
Crazy, Stupid, Love,Dan Fogelman
Crazylove,Carol Watson
Creation,John Collee
Crime Spree,Brad Mirman
Croods, The,Kirk DeMicco,Chris Sanders
Crouching Tiger, Hidden Dragon,Wang Hui Ling,James Schamus,Tsai Kuo Jung
Croupier,Paul Mayersberg
Crow Salvation, The,Chip Johannessen
Crow, The,David Schow
Crow: City of Angels, The,David S Goyer,James O'Barr
Cruel Intentions,Roger Kumble
Crying Game,Neil Jordan
Cube,Andre Bijelic,Vincenzo Natali,Graeme Manson
Curious Case of Benjamin Button, The,Eric Roth
Custody,Eric Stuyvesant
Dallas Buyers Club,Craig Borten,Melisa Wallack
Damned United, The,Peter Morgan,David Peace
Dances with Wolves,Michael Blake
Danish Girl, The,Lucinda Coxon,David Ebershoff
Dark City,Alex Proyas
Dark Knight Rises, The,Jonathan Nolan,Christopher Nolan
Dark Knight, The,Jonathan Nolan,Christopher Nolan
Dark Star,John Carpenter,Dan O'Bannon
Darkman,Joshua Goldin,Daniel Goldin,Sam Raimi,Ivan Raimi,Chuck Pfarrer
Date Night,Josh Klausner
Dave Barry's Complete Guide to Guys,Jeff Arch,Dave Barry
Dawn of the Dead,George A. Romero
Day of the Dead,George A. Romero
Day the Clown Cried, The,Charles Denton,Jerry Lewis
Day the Earth Stood Still, The,Edmund H. North
Days of Heaven,Terrance Malick
Dead Poets Society,Tom Schulman
Deadpool,Rhett Reese,Paul Wernick
Dear White People,Justin Simien
Death at a Funeral,Chris Rock,Aeysha Carr
Death to Smoochy,Marty Kaplan
Debt, The,Matthew Vaughn,Jane Goldman,Peter Straughan
Deception,Mark Bomback,Patrick Marber
Deep Cover,Michael Tolkin,Henry Bean
Deep Rising,Steven Sommers,Robert Mark Kamen
Deer Hunter, The,Deric Washburn
Defiance,Clayton Frohman,Edward Zwick
Departed, The,William Monahan
Descendants, The,Alexander Payne,Nat Faxon,Jim Rash
Despicable Me 2,Cinco Paul,Ken Daurio
Detroit Rock City,Carl V Dupre
Devil in a Blue Dress,Carl Franklin,Walter Mosley
Devil Wears Prada, The,Aline Brosh McKenna,Lauren Weisberger
Devil's Advocate,Andrew Neiderman,Jonathan Lemkin
Die Hard,Jeb Stuart,Steven E. De Souza
Die Hard 2,Doug Richardson,Steven E. de Souza
Diner,Barry Levinson
Distinguished Gentleman, The,Adam Resnick
Disturbia,Christopher Landon,Carl Ellsworth
Django Unchained,Quentin Tarantino
Do The Right Thing,Spike Lee
Dog Day Afternoon,Frank Pierson
Dogma,Kevin Smith
Donnie Brasco,Paul Attanasio
Donnie Darko,Richard Kelly
Doors, The,Randall Jahnson,Oliver Stone
Double Indemnity,James M. Cain,Billy Wilder,Raymond Chandler
Drag Me to Hell,Ivan Raimi,Sam Raimi
Dragonslayer,Hal Barwood,Matthew Robbins
Drive,Hossein Amini,James Sallis
Drive Angry,Todd Farmer,Patrick Lussier
Drop Dead Gorgeous,Lona Williams
Dry White Season, A,Euzhan Palcy
Duck Soup,Bert Kelmer,Harry Ruby,Grover Jones
Dumb and Dumber,Peter Farrelly,Bobby Farrelly, Bennett Yellin
Dune,David Lynch,Frank Herbert
E.T.,Melissa Mathison
Eagle Eye,John Glenn,Travis Wright
Eastern Promises,Steven Knight
Easy A,Bert V. Royal
Ed TV,Emile Gaudreault,Sylvie Bochard
Ed Wood,Scott Alexander,Larry Karaszewski,Tim Burton
Edward Scissorhands,Tim Burton,Caroline Thompson
Eight Legged Freaks,Jesse Alexander, Ellory Elkayem
El Mariachi,Robert Rodriguez
Election,Alexander Payne,Jim Taylor
Elephant Man, The,Christopher De Vore,Eric Bergren,David Lynch
Elizabeth: The Golden Age,William Nicholson,Michael Hirst
Elvis,Baz Luhrmann,Sam Bromell,Craig Pearce,Jeremy Doner
Enemy of the State,David Marconi
English Patient, The,Anthony Minghella
Enough,Nicholas Kazan
Entrapment,Ronald Bass,Michael Herzberg
Equilibrium,Kurt Wimmer
Erik the Viking,Terry Jones
Erin Brockovich,Susannah Grant
Escape From L.A.,John Carpenter,Debra Hill,Kurt Russell
Escape From New York,John Carpenter,Nick Castle
Eternal Sunshine of the Spotless Mind,Charlie Kaufman,Michel Gondry,Pierre Bismuth
Even Cowgirls Get the Blues,Tom Robbins,Gus Van Sant
Event Horizon,Philip Eisner
Evil Dead,Sam Raimi
Evil Dead II: Dead by Dawn,Sam Raimi,Scott Spiegel
Ex Machina,Alex Garland
Excalibur,Rospo Pallenberg,John Boorman
Executive Decision,Jim Thomas,John Thomas
eXistenZ,David Cronenberg
Extract,Mike Judge
Eyes Wide Shut,Stanley Kubrick,Frederic Raphael
Fabulous Baker Boys, The,Steven Kloves
Face Off,Mike Werb,Michael Colleary
Fair Game,Jez Butterworth,John-Henry Butterworth
FairyTale: A True Story,Ernie Contreras
Family Man, The,David Diamond,David Weissman
Fantastic Four,Mark Frost,Michael France
Fantastic Mr Fox,Roald Dahl,Wes Anderson,Noah Baumbach
Fargo,Joel Coen,Ethan Coen
Fast Times at Ridgemont High,Cameron Crowe
Fatal Instinct,David O'Malley
Fault in Our Stars, The,Scott Neustadter,Michael H. Weber
Fear and Loathing in Las Vegas,Terry Gilliam,Tony Grisoni
Feast,Patrick Melton,Marcus Dunston
Ferris Bueller's Day Off,John Hughes
Field of Dreams,Phil Alden Robinson
Fifth Element, The,Luc Besson
Fight Club,Jim Uhls
Fighter, The,Scott Silver,Paul Tamasy,Eric Johnson
Final Destination,James Wong,Glen Morgan
Final Destination 2,J. Mackye Gruber,Eric Bress
Finding Nemo,Andrew Stanton
First Cow,Jon Raymond,Kelly Reichardt
Five Easy Pieces,Carole Eastman
Flash Gordon,Lorenzo Semple Jr.
Fletch,Phil A. Robinson,Andrew Bergman
Flight,John Gatins
Flintstones, The,Steven E. De Souza
Forrest Gump,Eric Roth,Winston Groom
Four Feathers,Michael Chiffer,Hossein Amini
Four Rooms,Allison Anders,Quentin Tarantino,Robert Rodriguez,Alexandre Rockwell
Foxcatcher,E. Max Frye,Dan Futterman
Fracture,Dan Pyne
Frances,Eric Bergren,Christopher De Vore,Nicholas Kazan
Frankenstein,Steph Lady,Frank Darabont
Frankenweenie,John August
Freaked,Tim Burns,Tom Stern,Alex Winter
Freddy vs. Jason,Peter Briggs
French Connection, The,Ernest Tidyman
Frequency,Toby Emmerich
Friday the 13th,Victor Miller
Friday the 13th Part VIII: Jason Takes Manhattan,Rob Hedden
Fright Night,Marti Noxon
Fright Night (1985),Tom Holland
From Dusk Till Dawn,Quentin Tarantino
From Here to Eternity,Daniel Taradash
Frozen,Adam Green
Frozen (Disney),Jennifer Lee
Frozen River,Courtney Hunt
Fruitvale Station,Ryan Coogler
Fugitive, The,Jeb Stuart,David N. Twohy
Full Metal Jacket,Stanley Kubrick,Michael Herr,Gustav Hasford
Funny People,Judd Apatow
Fury,David Ayer
G.I. Jane,David Twohy
G.I. Joe: The Rise of Cobra,Stuart Beattie,John Lee Hancock,Brian Koppelman,David Levien
Game 6,Don DeLillo
Game, The,John Brancato,Michael Ferris,Larry Gross,Andrew Kevin Walker
Gamer,Mark Neveldine,Brian Taylor
Gandhi,John Briley
Gang Related,Jim Kouf
Gangs of New York,Jay Cocks,Steven Zaillian,Kenneth Lonergan
Garden State,Zach Braff
Gattaca,Andrew Niccol
Get Carter,Mike Hodges,Ted Lewis
Get Low,Chris Provenzano,Scott Seeke,C. Gaby Mitchell
Get on Up,Steven Baigelman,Jez Butterworth,John-Henry Butterworth
Get Out,Jordan Peele
Get Shorty,Scott Frank
Getaway, The,Walter Hill
Ghost,Bruce Joel Rubin
Ghost and the Darkness, The,William Goldman
Ghost Rider,David S. Goyer
Ghost Ship,Mark Hanlon
Ghost World,Daniel Clowes,Terry Zwigoff
Ghostbusters,Dan Aykroyd,Harold Ramis
Ghostbusters 2,Dan Aykroyd,Harold Ramis
Ginger Snaps,Karen Walton
Girl with the Dragon Tattoo, The,Steven Zaillian
Gladiator,David Franzoni,John Logan
Glengarry Glen Gross,David Mamet
Go,John August
Godfather,Mario Puzo,Francis Ford Coppola
Godfather Part II,Mario Puzo,Francis Ford Coppola
Godfather Part III, The,Mario Puzo,Francis Ford Coppola
Gods and Monsters,Bill Condon
Godzilla,Dean Devlin,Roland Emmerich
Gone Baby Gone,Ben Affleck,Aaron Stockard
Gone in 60 Seconds,Scott Rosenberg
Good Girl, The,Mike White
Good Will Hunting,Matt Damon,Ben Affleck
Goodfellas,Nicholas Pileggi
Gothika,Sebastian Gutierrez
Grabbers,Kevin Lehane
Graduate, The,Buck Henry
Gran Torino,Nick Schenk
Grand Hotel,Bela Balazs
Grand Theft Parsons,Jeremy Drysdale
Grapes of Wrath, The,Nunnally Johnson
Gravity,Alfonso Cuaron,Jonas Cuaron
Great Gatsby, The,Baz Luhrmann,Craig Pearce
Green Mile, The,Stephen King,Frank Darabont
Gremlins,Chris Columbus
Gremlins 2,Charlie Haas
Grifters, The,Donald E. Westlake
Grosse Point Blank,Tom Jankiewicz, D.V. deVincentis, S.K. Boatman,John Cusack
Groundhog Day,Danny Rubin
Grudge, The,Stephen Susco
Guardians of the Galaxy Vol 2,James Gunn
Hackers,Rafael Moreu
Hall Pass,Peter Farrelly,Bobby Farrelly,Kevin Barnett,Pete Jones
Halloween,Jeff Fradley,Danny McBride,David Gordon Green
Halloween: The Curse of Michael Myers,Daniel Farrands
Hancock,Vincent Ngo,Vince Gilligan
Hangover, The,Jon Lucas,Scott Moore
Hanna,Seth Lochead
Hannah and Her Sisters,Woody Allen
Hannibal,Steven Zaillian
Happy Birthday, Wanda June,Kurt Vonnegut Jr.
Happy Feet,George Miller,John Collee
Hard Rain,Graham Yost
Hard to Kill,Steven Pressfield,Ronald Shusett,Steven Seagal
Harold and Kumar Go to White Castle,Jon Hurwitz,Hayden Schlossberg
Harry Potter and the Chamber of Secrets,J.K. Rowling,Steven Kloves
Harry Potter and the Deathly Hallows Part 1,Steve Kloves
Harry Potter and the Goblet of Fire,Steven Kloves,J.K. Rowling
Harry Potter and the Half-Blood Prince,Steve Kloves,J.K. Rowling
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Steven Kloves
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Steven Kloves
Haunting, The,David Self,Michael Tolkin
He's Just Not That Into You,Abby Kohn,Marc Silverstein
Heat,Michael Mann
Heathers,Daniel Waters
Heavenly Creatures,Fran Walsh,Peter Jackson
Heavy Metal,Dan Goldberg,Len Blum
Hebrew Hammer, The,Jonathan Kesselman
Heist,David Mamet
Hellbound: Hellraiser II,Peter Atkins,Clive Barker
Hellboy,Mike Mignola,Guillermo del Toro,Peter Briggs
Hellboy 2: The Golden Army,Guillermo del Toro
Hellraiser,Clive Barker
Hellraiser 3: Hell on Earth,Peter Atkins,Tony Randel
Hellraiser: Deader,Clive Barker,Neal Marshall Stevens,Tim Day
Hellraiser: Hellseeker,Carl Dupre,Clive Barker
Help, The,Tate Taylor,Kathryn Stockett
Henry Fool,Hal Hartley
Henry's Crime,Sacha Gervasi
Her,Spike Jonze
Hesher,Spencer Susser,David Michod
High Fidelity,Nick Hornby,D.V. DeVincentis
Highlander,Gregory Widen
Highlander: Endgame,Gillian Horvath,William N. Panzer,Joel Soisson
Hills Have Eyes, The,Alexandre Aja,Gregory Levasseur
His Girl Friday,Ben Hecht,Charles MacArthur
Hitchcock,John J. McLaughlin,Stephen Rebello
Hitchhiker's Guide to the Galaxy, The,Douglas Adams
Hollow Man,Gary Scott Thompson,Andrew W. Marlowe
Honeydripper,John Sayles
Horrible Bosses,Michael Markowitz
Horse Whisperer, The,Eric Roth
Hospital, The,Paddy Chayefsky
Hostage,Robert Crais
Hot Tub Time Machine,Josh Heald
Hotel Rwanda,Keir Pearson,Terry George
House of 1000 Corpses,Rob Zombie
How to Lose Friends & Alienate People,Peter Straughan
How to Train Your Dragon,Dean DeBlois,Chris Sanders
How to Train Your Dragon 2,Dean DeBlois,Cressida Cowell
Hudson Hawk,Steven E. De Souza,Daniel Waters
Hudsucker Proxy, The,Joel Coen,Ethan Coen,Sam Raimi
Human Nature,Charlie Kaufman
Hunt for Red October, The,Larry Ferguson,Tom Clancy
Hurt Locker, The,Mark Boal,Kathryn Bigelow
I Am Number Four,Alfred Gough,Miles Millar
I am Sam,Kristine Johnson,Jessie Nelson
I Love You Phillip Morris,Glenn Ficarra,John Requa
I Spit on Your Grave,Adam Rockoff
I Still Know What You Did Last Summer,Trey Callaway
I'll Do Anything,James L. Brooks
I, Robot,Hillary Seitz
Ice Storm, The,James Schamus
Ides of March, The,George Clooney,Grant Heslov,Beau Willimon
Imaginarium of Doctor Parnassus, The,Terry McKeown,Charles Gilliam
In the Bedroom,Robert Festinger,Todd Field
In the Loop,Jesse Armstrong,Simon Blackwell,Armando Iannucci,Tony Roche
Inception,Christopher Nolan
Incredibles, The,Brad Bird
Independence Day,Dean Devlin,Roland Emmerich
Indiana Jones and the Last Crusade,George Lucas,Philip Kaufman,Menno Meyjes,Jeffrey Boam
Indiana Jones and the Raiders of the Lost Ark,George Lucas,Philip Kaufman,Lawrence Kasda
Indiana Jones and the Temple of Doom,George Lucas,Willard Huyck,Gloria Katz
Indiana Jones IV,Christopher Columbus
Informant, The,Scott Z. Burns,Kurt Eichenwald
Inglourious Basterds,Quentin Tarantino
Innerspace,Jeffrey Boam
Insider, The,Eric Roth,Michael Mann
Insidious,Leigh Whannell
Insomnia,Hilary Seitz
Interstellar,Jonathan Nolan
Interview with the Vampire,Anne Rice,Neil Jordan
Into the Wild,Sean Penn,Jon Krakauer
Into the Woods,James Lapine,Stephen Sondheim
Intolerable Cruelty,Matthew Stone,John Romano,Robert Ramsey,Ethan Coen,Joel Coen
Inventing the Abbotts,Ken Hixon
Invention of Lying, The,Ricky Gervais,Matthew Robinson
Invictus,Anthony Peckham
Iron Lady, The,Abi Morgan
Island, The,Caspian Tredwell-Owen
It,Chase Palmer,Cary Fukunaga
It Happened One Night,Samuel Hopkins Adams,Robert Riskin
It Happened One Night,Samuel Hopkins Adams,Robert Riskin
It's a Wonderful Life,Frank Capra,Frances Goodrich,Albert Hackett,Jo Swerling
It's Complicated,Nancy Meyers
Italian Job, The,Donna Powers,Wayne Powers,Troy Kennedy-Martin
Jacket, The,Marc Rocco,Tom Bleecker,Massy Tadjedin
Jackie Brown,Quentin Tarantino
Jacob's Ladder,Bruce Joel Rubin
Jade,Joe Eszterhas
Jane Eyre,Moira Buffini
Jason X,Todd Farmer
Jaws,Peter Benchley,Carl Gottlieb
Jaws 2,Carl Gottlieb,Howard Sackler
Jay and Silent Bob Strike Back,Kevin Smith
Jennifer Eight,Bruce Robinson
Jennifer's Body,Diablo Cody
Jerry Maguire,Cameron Crowe
Jeux Interdits,Jean Aurenche,Pierre Bost,Francois Boyer,Rene Clement
JFK,Jim Marrs,Jim Garrison,Oliver Stone,Zachary Sklar
Jimmy and Judy,Randall Rubin,Jon Schroder
John Q,James Kearns
John Wick,Derek Kolstad
