kundun,Melissa Mathison
labor of love,M. Night Shyamalan
last flight,John Monk Saunders
le diable par la queue,Daniel Boulanger,Claude Sautet
les tontons flingueurs,Michel Audiard,Georges Lautner,Albert Simonin
liar liar,Tom Shadyac,Mike Binder
little athens,Jeff Zuber,Tom Zuber
lock, Stock and Two Smoking Barrels,Guy Ritchie
lord of the rings: fellowship of the ring,Frances Walsh,Philippa Boyens,Peter Jackson
lord of the rings: return of the king,Peter Jackson,Fran Walsh,Philippa Boyens
man trouble,Carole Eastman
mariachi, El,Robert Rodriguez
master and commander,John Collee,Peter Weir
men in black 3,Etan Cohen,Lowell Cunningham
mighty morphin power rangers: the movie,John Kamps,Arne Olsen
mimic,Matt Greenberg,Guillermo del Toro
mini's first time,Nick Guthe
mission impossible,Robert Towne
mission impossible ii,Robert Towne
mr blandings builds his dream house,Melvin Frank,Norman Panama
mr brooks,Bruce A. Evans,Raynold Gideon
mr deeds goes to town,Clarence Budington Kelland,Robert Riskin
mute witness,Anthony Waller
my mother dreams the satan's disciples in new york,Rex Pickett
ni vu ni connu,Alphonse Allais,Jacques Celhay,Jean Marsan,Yves Robert
night time (the poltergeist treatment),Steven Spielberg
nightmare on elm street, A,Wes Craven
nightmare on elm street: the final chapter,Wes Craven,Rachel Talalay
o brother where art thou?,Joel Coen,Ethan Coen
officer and a gentleman, An,Douglas Day Stewart
passion of joan of arc,Joseph Delteil,Carl Theodor Dreyer
perfect creature,Glenn Standring
perfect world, A,John Lee Hancock
pet sematary ii,Richard Outten,David S. Goyer
pirates of the caribbean,Ted Elliot,Terry Rossio
pokemon: mewtwo returns,Masamitsu Hidaka
precious,Geoffrey Fletcher
pretty woman (final script),Jonathan Frederick Lawton
producer,Mel Brooks
quantum project,David Aaron Cohen
rambo: first blood ii: the mission,James Cameron
reindeer games,Ehren Kruger
return of the apes,Terry Hayes
ringu,Takahashi Hiroshi
rko 281,John Logan
romeo & juliet,William Shakespeare,Craig Pearce,Baz Luhrmann
roughshod,Hugo Butler,Geoffrey Homes,Peter Viertel
rust and bone,Jacques Audiard,Thomas Bidegain
s. darko,Nathan Atkins
sandlot kids,David Mickey Evans,Robert Gunter
scott pilgrim vs the world,Edgar Wright,Michael Bacall
se7en,Andrew Kevin Walker
sense and sensibility,Jane Austen,Emma Thompson
seventh seal,Ingmar Bergman
sex, Lies and Videotape,Steven Soderbergh
sexual life,Ken Kwapis
shivers,David Cronenberg
silver bullet,Stephen King
sleepless in seattle,Jeff Arch,Nora Ephron,David S. Ward
south park,Trey Parker,Matt Stone,Pam Brady
space milkshake,Armen Evrensel
spare me,Christopher Grimm,Matthew Harrison
star trek: generations,Rick Berman,Ronald Moore,Brannon Braga
star wars: a new hope,George Lucas
star wars: attack of the clones,George Lucas
star wars: return of the jedi,George Lucas,Lawrence Kasdan
star wars: revenge of the sith,George Lucas
star wars: the empire strikes back,George Lucas,Lawrence Kasdan,Leigh Brackett
star wars: the force awakens,Lawrence Kasdan,J.J. Abrams,Michael Arndt
star wars: the phantom menace,George Lucas
station west,Frank Fenton,Winston Miller,Luke Short
strange days,James Cameron,Jay Cocks
strangers on a train,Raymond Chandler,Czenzi Ormonde
stuntman,Lawrence B. Marcus,Richard Rush,Paul Brodeur
sugar and spice,Mandy Nelson
sunset blvd.,Charles Brackett,Billy Wilder,D.M. Harshman Jr.
superfights,Keith Strandburg
surfer king,Bernard Murray Jr
synecdoche, New York,Charlie Kaufman
taking sides,Ronald Harwood
tall in the saddle,Michael Hogan,Paul P Fix,Gordon Ray Young
tenet,Christopher Nolan
terminator 2: judgement day,James Cameron,William Wisher
the rage: carrie 2,Rafael Moreu
things my father never taught me,Burleigh Smith
thor ragnarok,Eric Pearson,Craig Kyle,Christopher L. Yost
three kings (spoils of war),John Ridley
three men and a baby,Jim Cruickshank,James Orr,Colline Serreau
ticker,Paul B. Margolis
tombstone,Kevin Jarre
tristan and isolde,Dean Georgaris
tron: legacy,Richard Jefferies
true lies,Claude Zidi,Simon Michael,Didier Kaminka,James Cameron
twilight: new moon,Melissa Rosenberg,Stephenie Meyer
twin peaks,Mark Frost,David Lynch,Robert Engels
u turn,John Ridley,Richard Rutowski,Oliver Stone
un singe en hiver,Michel Audiard,Antoine Blondin,Francois Boyer
walk to remember, A,Karen Janszen
warm springs,Margaret Nagle
white jazz,Joe Carnahan,Matthew Michael Carnahan
white ribbon,Michael Haneke
who's your daddy,Maria Veltre Druse,Jack Sekowski
wild at heart,David Lynch
wild things: diamonds in the rough,Andy Hurst,Ross Helford
