,movie_title_x,tomatometer_rating,audience_rating
321,Crazylove,,
322,Creation,46.0,49.0
323,Crime-Spree,33.0,56.0
324,Croods,71.0,77.0
325,Crouching-Tiger,,
326,Croupier,,
327,Crow-Salvation,,
328,Crow,83.0,90.0
329,Crow:-City-of-Angels,12.0,40.0
330,Cruel-Intentions,54.0,81.0
331,Crying-Game,94.0,78.0
332,Cube,63.0,76.0
333,Curious-Case-of-Benjamin-Button,72.0,80.0
334,Custody,,
335,Dallas-Buyers-Club,93.0,91.0
336,Damned-United,92.0,85.0
337,Dances-with-Wolves,83.0,87.0
338,Danish-Girl,67.0,72.0
339,Dark-City,76.0,85.0
340,Dark-Knight-Rises,87.0,90.0
341,Dark-Knight,94.0,94.0
342,Dark-Star,,
343,Darkman,84.0,59.0
344,Date-Night,66.0,55.0
345,Dave-Barry's-Complete-Guide-to-Guys,,
346,Dawn-of-the-Dead,75.0,77.0
347,Day-of-the-Dead,13.0,22.0
348,Day-of-the-Dead,81.0,75.0
349,Day-the-Clown-Cried,,
350,Day-the-Earth-Stood-Still,95.0,87.0
351,Day-the-Earth-Stood-Still,21.0,27.0
352,Days-of-Heaven,92.0,89.0
353,Dead-Poets-Society,84.0,92.0
354,Deadpool,85.0,90.0
355,Dear-White-People,91.0,61.0
356,Death-at-a-Funeral,62.0,79.0
357,Death-at-a-Funeral,43.0,45.0
358,Death-to-Smoochy,42.0,66.0
359,Debt,77.0,66.0
360,Deception,11.0,31.0
361,Deep-Cover,82.0,77.0
362,Deep-Rising,28.0,43.0
363,Deer-Hunter,93.0,92.0
364,Defiance,58.0,72.0
365,Departed,91.0,94.0
366,Descendants,88.0,79.0
367,Despicable-Me-2,75.0,85.0
368,Detroit-Rock-City,48.0,82.0
369,Devil-in-a-Blue-Dress,88.0,70.0
370,Devil-Wears-Prada,75.0,76.0
371,Devil's-Advocate,63.0,80.0
372,Die-Hard,94.0,94.0
373,Die-Hard-2,69.0,70.0
374,Diner,93.0,78.0
375,Distinguished-Gentleman,,
376,Disturbia,69.0,77.0
377,Django-Unchained,87.0,91.0
378,Do-The-Right-Thing,93.0,90.0
379,Dog-Day-Afternoon,96.0,90.0
380,Dogma,,
381,Donnie-Brasco,88.0,89.0
382,Donnie-Darko,86.0,80.0
383,Doors,57.0,79.0
384,Double-Indemnity,97.0,95.0
385,Drag-Me-to-Hell,92.0,62.0
386,Dragonslayer,84.0,62.0
387,Dragonslayer,90.0,61.0
388,Drive,92.0,79.0
389,Drive,0.0,17.0
390,Drive-Angry,47.0,37.0
391,Drop-Dead-Gorgeous,45.0,75.0
392,Dry-White-Season,,
393,Duck-Soup,92.0,91.0
394,Dumb-and-Dumber,68.0,84.0
395,Dune,53.0,66.0
396,E.T.,,
397,Eagle-Eye,26.0,62.0
398,Eastern-Promises,89.0,83.0
399,Easy-A,85.0,77.0
400,Ed-TV,,
